id;product_id;name;description;product_hsn_code;product_tax_rate;unit_code_id;cost_per_qty;cgst;sgst;igst;total_tax_rate
1;static brand;withdrawal;Classical;Mississippi;Sri Real;Denar;13556;Van;Keys Concrete voluptatibus;generating;amortise before state
2;Lead turquoise Buckinghamshire;Plastic Well Garden;male;Hybrid;equal;huzzah;16241;East;Mazda atop;good;Lead
3;lustrous Cisgender Bedfordshire;withdrawal;Central;Androgyne magnam Orchestrator;South Northeast;sniveling Rubber Smart;14473;admonish Market watt;invoice;busily Credit;incidunt female Cambridgeshire
4;Jazz Branding Missouri;fortune sievert Bicycle;male Points mole;Northeast bypassing;Senior painfully Intelligent;Liaison;28441;Dinar;transmit;forecast Latin;odyssey connect
5;Berkshire lux;soft bypassing;Borders;Wooden;Ferrari;Crona bluetooth Diesel;2716;hoarse Massachusetts;Neutrois Optimization Consultant;above Agent politely;quod matrix
6;Incredible;Sleek Soap;Coupe Southwest Lead;teal;sunt;Data Plastic;21898;Representative Actinium;Central superstructure slow;Bicycle;effect Convertible Bacon
7;productivity buffalo;blah;although;Licensed olive Mauritius;Electronics McDonald probe;to grey Rubber;30523;though Cambridgeshire Cambridgeshire;Officer Spurs;bypass spit;application East
8;Gloves;whenever Antarctica;North Tactics;blue after;Accounts eminent;phooey Massachusetts Southeast;29297;Cotton female;North array;powerfully Towels;Bike copy Harris
9;greedily models Touring;Steel throughout;Highway;Internal consectetur;East 24/7;pilaf;11265;Diesel;paradigms;Northwest;motivating
10;Loan redefine;Optimization;mobile Credit;Handcrafted blue;Response;Focused female back;32447;channels Cheese;Soap;female;whiteboard Checking
