id;invoice_id;supplier_client_id;buyer_client_id;invoice_items_id;shipping_address_id;status;create_date_time;update_date_time;created_by;updated_by;total_igst_rate;total_cgst_rate;total_sgst_rate;total_tax_rate;total_ass_amount;total_no_items;grand_total;distance;mode_of_transaction;trans_type;vehicle_no
1;Jewelery Cotton solutions;models deposit;ivory Electric;Diesel Dinar;Republic;DRAFT;2023-10-04T17:20:13;2023-10-04T21:34:30;except;aged Soft Yen;Southeast Mountain;middleware Product Smart;calculate joule;invoice cum;through Analyst;Frozen;27131;31405;Handcrafted soluta;navigating;24/7
2;Baby Ruble Grocery;synthesize;connecting ampere Developer;Africa;lavender Solutions haunt;PAYMENT_NOT_RECEIVED;2023-10-05T04:36:51;2023-10-05T04:02:22;spherical grave;voluptatibus World;synthesizing botany Wooden;male Bugatti;Identity;Granite;synthesizing Outdoors;Virginia Dinar Account;23056;11496;pong matrix;Cliff lovingly zero;Convertible female navigate
3;Planner excepturi;Mills Indonesia District;Beauty Cambridgeshire;systemic Blues;Electronic mid partially;COMPLETED;2023-10-05T05:41:23;2023-10-04T21:58:27;fuchsia haptic;Orchestrator;hopelessly;Soap Bicycle;grey after global;Southeast;Persistent Marketing Soap;1080p Lights South;27889;25855;Frozen transmit Adaptive;as Tandem invoice;Human
4;Streets productivity;Coupe;Implementation Jersey;Island down Bespoke;Colorado;ISSUED;2023-10-05T01:48:52;2023-10-04T23:04:12;Mexican Southeast;Movies payment;CFP Thulium;West dolores Fresh;Mauritius;Gorgeous Beauty initialize;lavender even Fresh;applications Lek;20983;9734;invoice Wooden possible;female weber;Global redefine City
5;override ammunition South;Home payment;digital World payment;cute;Consultant;PAYMENT_RECEIVED;2023-10-04T16:14:17;2023-10-05T12:59:57;generate busily suddenly;Principal Rest ability;what Bicycle;amongst Inverse;Bonaire, Tricycle;wherever;metrics;digital;2314;26164;Diesel Future lumen;Officer;accusantium Avon Massachusetts
6;Indonesia;invoice flail East;Usability Wooden;dicker grey Practical;redundant Engineer deposit;PAYMENT_RECEIVED;2023-10-04T16:19:29;2023-10-04T23:44:59;World alarm;withdrawal;F2M gold olive;purple Southeast;male Agender;Architect and;Specialist Hybrid violet;tepid;8440;30142;Trans Toys Indiana;Jewelery;compelling
7;Division;wait Oriental;Liaison;alarm;matrix Marketing;DRAFT;2023-10-05T00:39:45;2023-10-05T13:04:16;male monitor;Minivan;Infrastructure;Massachusetts parsing Gorgeous;salmon;feed bypass intangible;Recumbent;Optional;1341;30368;matrix Diesel alongside;France Diesel;online input
8;gate application maroon;Intranet;compress;Cobalt Passenger Point;City withdrawal Concrete;DRAFT;2023-10-04T21:51:19;2023-10-04T17:59:30;Polestar;implementation;debitis array;South;Sausages Strategist;Union indigo Account;green groupware jell;workforce mesh discrete;29846;16167;North Electronic;invoice;Nissan F2M
9;online Convertible integrated;female Account;Electric Organized;payment;Buckinghamshire Southwest;PAYMENT_RECEIVED;2023-10-04T22:29:07;2023-10-05T10:29:05;Specialist female matrix;Folk Connecticut;per Loan;enhance;katal East;evolve;Southeast mmm;Antarctica seeker;15378;22689;West cyan Legacy;panel;Ngultrum farad static
10;indigo;transmitting microchip;Soft;Computers National Berkshire;Avon;DRAFT;2023-10-04T14:30:35;2023-10-05T01:54:26;firewall;male wireless;aggregate Southwest;up;Southwest Avon;Music;synergies Keyboard Program;Luxurious Configuration Idell;23804;16080;payment veritatis;ouch transmit;white Clothing
