id;order_id;title;description;status;orders_items_id
1;South katal;Herzegovina invoice firmware;partnerships;CANCEL_CLOSE;Officer Vermont
2;exactly proposal intuitive;collaboration Hat North;Utah Fantastic;IN_PROGRESS;watt
3;bluetooth Producer haptic;pixel for;envisioneer;IN_PROGRESS;default Account
4;Licensed following;expedite modulo target;Legacy;IN_PROGRESS;croon Bespoke
5;Account payment Architect;Classical relationships Investment;Indonesia Practical forecast;DRAFT;Tools
6;Music;amidst pushy likewise;Fermium Latin Buckinghamshire;CANCEL_CLOSE;violet someplace Robust
7;ugh;Music incremental;plum South;COMPLETED;atop synergies Fish
8;edition Accounts aside;payment;praesentium International;DRAFT;Jamahiriya
9;lest;deposit Hybrid;orchestration up;OPEN;induce triumphantly sill
10;Southwest Designer;red Electric running;adapter;COMPLETED;female unless heuristic
